,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,West and Central Africa,Sub-Saharan Africa,West and Central Africa,23,25,26,24,29,30,29,29,29,29,28,29,28,29,27,29,33,33,33,34,36,37,39,40
LBY,Libya,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,519,522,530,539,546,545,547,549,550,543,529,431,506,504,485,508,538,596,641,680,638,475,803,856
LTU,Lithuania,Industrialized,Europe and Central Asia,Western Europe,5280,5819,7058,6749,7602,7010,6670,6564,6726,7598,7838,7705,7845,7846,8308,7208,7584,7433,8017,8172,9658,9166,9807,12355
LUX,Luxembourg,Industrialized,Europe and Central Asia,Western Europe,3635,3577,4008,4829,4181,4336,4393,5383,5590,4769,4300,5758,5612,4810,5881,6008,6000,5260,8469,6554,13196,12899,12714,6680
MDG,Madagascar,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,28,30,31,33,34,36,37,38,39,39,41,43,44,45,47,48,49,49,50,50,53,51,55,55
MWI,Malawi,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,36,41,45,52,58,62,61,53,42,36,36,39,44,49,56,61,71,80,86,91,93,86,105,113
MYS,Malaysia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,951,1048,1167,1234,1334,1449,1547,1614,1614,1640,1702,1682,1705,1712,1678,1703,1770,1835,1919,2025,2141,1281,1783,2546
MDV,Maldives,South Asia,South Asia,South Asia,387,479,534,602,677,822,841,824,749,742,796,820,851,877,1013,1105,1162,1229,1347,1412,1200,973,1735,1938
MLI,Mali,West and Central Africa,Sub-Saharan Africa,West and Central Africa,21,22,23,25,25,26,26,26,26,27,27,27,28,29,31,32,34,35,38,41,43,42,47,49
MLT,Malta,Industrialized,Europe and Central Asia,Western Europe,5784,6644,6228,6059,7522,7555,6895,8157,8070,7505,9470,7328,8300,10715,9716,11169,8138,11274,9451,10457,8813,9062,9266,11062
MHL,Marshall Islands,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,82,90,95,97,91,94,96,100,104,110,122,129,138,150,156,173,178,185,202,204,197,171,210,241
MRT,Mauritania,West and Central Africa,Sub-Saharan Africa,West and Central Africa,30,31,33,34,34,36,36,36,37,38,38,39,39,39,41,42,44,45,47,49,51,50,56,58
MUS,Mauritius,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,1220,1320,1319,1364,1353,1382,1435,1449,1463,1440,1438,1389,1401,1373,1370,1397,1342,1227,1238,1238,1388,1032,1447,1362
MEX,Mexico,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,615,640,657,686,715,752,786,820,817,831,858,915,958,991,1052,1109,1144,1157,1168,1197,864,519,1204,1324
FSM,Micronesia (Federated States of),East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,121,130,124,143,147,152,155,161,166,172,178,185,188,190,196,193,204,208,217,232,239,232,251,283
MCO,Monaco,Industrialized,Europe and Central Asia,Western Europe,5777,5457,6027,12768,12297,12424,12054,5764,5332,5409,5423,5893,11377,11198,10132,9924,9382,10025,9517,9567,2276,10822,11258,10688
MNG,Mongolia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,286,331,380,423,460,502,519,527,510,507,551,568,576,576,597,645,710,774,786,768,763,596,958,1018
MNE,Montenegro,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,5168,5561,6081,6201,6941,7772,7932,7679,7614,7487,8693,9268,9287,9073,9378,9220,10459,8663,9629,10097,4371,4395,4997,11578
MAR,Morocco,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,136,151,165,177,186,201,217,233,250,266,281,307,337,372,405,434,463,500,537,569,565,509,673,700
MOZ,Mozambique,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,36,42,51,57,65,70,71,65,57,59,67,77,96,108,104,103,111,122,144,173,176,123,214,244
MMR,Myanmar,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,99,104,110,118,126,135,142,149,160,167,176,186,193,200,209,214,220,229,242,253,252,219,266,281
NAM,Namibia,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,72,77,96,107,111,91,76,63,56,55,56,59,65,72,78,94,115,136,148,169,208,120,244,225
NRU,Nauru,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,110,104,98,98,97,96,101,97,92,86,82,90,93,96,100,96,100,100,101,106,94,112,97,117
NPL,Nepal,South Asia,South Asia,South Asia,50,57,63,70,78,86,98,104,111,116,121,129,137,147,157,167,187,208,230,255,292,266,333,332
NLD,Netherlands (Kingdom of the),Industrialized,Europe and Central Asia,Western Europe,4749,5110,5093,5424,6097,6744,7740,8675,9016,9722,10868,10859,12022,13249,13321,14522,14037,14953,15767,15622,19726,14355,17047,18117
NZL,New Zealand,Industrialized,East Asia and Pacific,East Asia and Pacific,5295,5598,5759,5547,5541,5648,5787,5271,5566,5610,5612,5733,6260,7301,8440,7517,8205,8461,8819,8654,8897,8691,2911,9363
NIC,Nicaragua,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,133,152,180,203,227,257,287,310,330,342,358,381,408,427,452,472,506,547,605,594,486,350,719,741
NER,Niger,West and Central Africa,Sub-Saharan Africa,West and Central Africa,16,16,16,17,17,18,18,19,20,21,22,23,25,26,28,30,32,34,36,38,41,41,45,47
NGA,Nigeria,West and Central Africa,Sub-Saharan Africa,West and Central Africa,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,20,21,22,23,24,25
NOR,Norway,Industrialized,Europe and Central Asia,Western Europe,10941,11362,12407,11521,10945,11152,11545,12368,12912,13444,14825,16836,20731,22881,27605,29916,32695,37932,43215,46234,34834,43066,29027,60475
PSE,State of Palestine,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,300,299,319,339,354,387,408,437,443,459,519,575,642,734,797,913,1043,1184,1307,1465,1367,962,1692,1864
OMN,Oman,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,1418,1512,1584,1642,1757,1857,1968,1975,2008,1917,1847,2037,2020,1983,2009,2035,2058,2096,2247,2377,1066,484,3005,3068
PAK,Pakistan,South Asia,South Asia,South Asia,46,50,54,59,66,71,78,84,88,91,94,98,102,108,114,121,130,137,143,149,148,138,169,177
PLW,Palau,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,490,489,492,540,559,573,584,632,630,667,652,747,723,703,782,804,771,771,778,755,546,597,550,753
PAN,Panama,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,548,579,609,629,643,664,680,697,706,712,714,724,749,783,838,866,907,924,1019,1143,660,840,1247,1369
PNG,Papua New Guinea,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,70,70,70,72,73,75,76,77,81,86,91,99,106,114,122,130,137,145,149,156,162,145,174,178
PRY,Paraguay,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,136,142,149,156,163,172,183,197,212,234,267,305,368,442,522,577,621,643,659,672,573,288,523,708
PER,Peru,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,298,326,345,355,346,363,383,408,435,452,484,503,547,586,617,646,687,724,748,829,676,366,652,1038
PHL,Philippines,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,212,206,220,224,239,251,229,243,244,247,261,272,293,303,331,345,386,466,461,500,555,344,572,636
POL,Poland,Industrialized,Europe and Central Asia,Western Europe,12453,14728,17477,19430,20768,21922,22954,23925,24323,26845,28752,33515,36041,39462,40412,41767,40616,38487,40744,42184,27219,35006,56077,58680
PRT,Portugal,Industrialized,Europe and Central Asia,Western Europe,7590,8219,8618,9025,9712,9411,10165,9727,9194,8940,8298,9018,9157,9528,9073,8503,7474,6739,6395,6116,6665,5145,5471,5724
PRI,Puerto Rico,Not Classified,Not Classified,Not Classified,2462,2718,3052,3134,3046,3015,3342,3544,3868,4070,4015,4150,4415,4948,5068,5714,6059,6177,8662,9604,12352,2563,2318,11432
QAT,Qatar,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,2809,2737,2889,3059,3300,3388,4263,4762,4614,5242,5612,6030,6502,6854,7216,7920,8876,9560,10508,11495,8501,7994,6719,14171
KOR,Republic of Korea,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,4465,5469,6316,6716,7498,8512,9098,9015,10209,11160,11038,11558,11846,13739,15134,15579,17494,20952,24062,28190,13028,29775,23392,43501
MDA,Republic of Moldova,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1982,2246,2509,2631,2614,2722,2797,2799,2801,2814,3068,3332,3373,3407,2890,2723,2698,2920,2972,3023,2262,2767,3824,3829
ROU,Romania,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1796,2066,2239,2369,2530,2632,2900,3071,2855,2814,3156,3916,4053,4581,4275,4193,4184,4176,4618,5277,4739,3907,6077,6564
RUS,Russian Federation,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,2023,2090,2051,2031,2181,2403,2800,2835,2850,3075,3097,3574,3670,3916,3973,4182,4548,5612,5957,6522,4174,3886,6511,9237
RWA,Rwanda,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,23,26,30,37,45,44,42,43,48,53,58,66,74,78,82,85,89,91,95,99,106,108,120,125
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,331,374,441,468,510,532,560,588,611,635,663,690,716,780,792,861,888,909,880,933,888,653,748,1028
LCA,Saint Lucia,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,528,651,774,895,969,999,1056,1070,1087,1171,1135,1272,1296,1348,1476,1599,1616,1736,1818,1775,1776,822,1640,1789
WSM,Samoa,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,236,242,259,270,277,276,284,289,281,260,258,254,236,239,228,228,232,229,232,236,232,232,249,277
SMR,San Marino,Industrialized,Europe and Central Asia,Western Europe,5150,4793,5271,6100,6273,7158,7069,10774,8877,10416,9819,10592,12070,10384,13075,14241,15789,17704,17236,17008,2697,3477,5367,15473
STP,Sao Tome and Principe,West and Central Africa,Sub-Saharan Africa,West and Central Africa,105,107,107,109,110,109,112,114,115,118,121,127,133,144,159,178,199,223,252,273,287,276,333,368
SAU,Saudi Arabia,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,1268,1433,1630,1839,2041,2180,2269,2348,2550,2805,3156,3336,3526,3884,4027,4249,4264,4217,4249,4775,3703,3507,5051,5797
SEN,Senegal,West and Central Africa,Sub-Saharan Africa,West and Central Africa,33,35,37,38,40,41,44,45,44,46,46,48,49,53,57,61,64,71,78,87,101,99,115,112
SRB,Serbia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,5733,6007,6195,6380,6619,6962,7330,7397,7209,6864,6567,6491,6289,6303,6078,5966,6034,6175,6437,6480,5142,3025,5615,7628
SYC,Seychelles,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,1040,1143,1079,1036,955,945,970,920,908,916,1010,960,963,1073,1141,1097,1050,1037,1018,1049,1004,710,607,1290
SLE,Sierra Leone,West and Central Africa,Sub-Saharan Africa,West and Central Africa,11,12,12,13,14,14,16,17,18,19,20,21,23,26,27,31,36,40,48,52,58,62,69,74
SGP,Singapore,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,4351,5251,5498,6311,6838,7225,7588,8072,8889,9877,11034,10761,10131,11656,11626,12560,13154,13547,13729,14233,8195,5206,3209,17170
SVK,Slovakia,Industrialized,Europe and Central Asia,Western Europe,10325,11364,12772,12963,13098,13030,14994,13303,14716,13590,14605,14533,15875,15484,16018,17173,15099,15425,15827,15310,18018,5966,14423,17767
SVN,Slovenia,Industrialized,Europe and Central Asia,Western Europe,12757,15027,16856,16563,15904,15156,13795,12921,10942,11153,10800,11257,11520,12743,12882,14077,14737,15346,18073,19512,6581,9253,5234,23989
SLB,Solomon Islands,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,122,123,125,127,131,135,138,135,144,146,153,155,158,158,158,163,171,181,192,200,210,183,226,236
SOM,Somalia,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,13,13,13,13,13,13,13,14,14,15,14,16,17,18,19,19,20,22,22,24,25,23,27,30
ZAF,South Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,250,238,213,196,182,165,159,165,155,184,199,220,226,243,267,295,323,343,361,386,393,247,367,409
SSD,South Sudan,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,10,11,11,14,15,17,18,20,22,24,26,26,28,27,18,16,15,15,29,36,37,36,40,42
ESP,Spain,Industrialized,Europe and Central Asia,Western Europe,18235,17821,18095,18509,17344,17270,17365,17647,16829,17991,19452,19924,21199,23145,23286,24463,25843,27156,29990,33047,24151,28772,26697,38118
LKA,Sri Lanka,South Asia,South Asia,South Asia,1228,1243,1285,1299,1283,1435,1430,1479,1556,1739,1918,1963,2031,2110,2221,2362,2444,2490,2623,2697,2429,1653,2568,3132
VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,608,652,709,775,842,872,912,909,860,851,836,870,824,707,793,860,1020,975,1034,1028,1063,590,1118,1142
SDN,Sudan,Middle East and North Africa,Sub-Saharan Africa,Eastern and Southern Africa,28,30,32,32,35,38,40,44,47,52,54,57,61,64,69,72,75,80,83,85,83,76,89,91
SUR,Suriname,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,116,122,136,151,172,189,205,221,240,265,295,320,331,337,346,367,401,426,450,474,491,326,535,566
SWZ,Eswatini,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,77,93,89,76,68,58,60,48,41,37,42,42,52,65,87,114,153,218,252,351,335,160,316,304
SWE,Sweden,Industrialized,Europe and Central Asia,Western Europe,13463,13827,12805,12182,12495,12929,12015,12162,12172,12138,12701,12718,12429,12466,12581,13682,13519,13858,14037,14413,12485,12629,13851,18753
CHE,Switzerland,Industrialized,Europe and Central Asia,Western Europe,8540,9581,9297,10128,10006,9823,10339,11004,11008,11322,10579,10574,11429,11606,11956,11936,11200,12160,11905,12742,14316,16110,20324,14045
SYR,Syrian Arab Republic,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,778,855,958,1074,1179,1268,1413,1453,1340,1436,1456,1394,1303,1167,1266,1418,1654,1671,1893,1616,1676,1279,1886,1899
TJK,Tajikistan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,465,470,582,728,763,807,842,947,977,962,1021,1065,1169,1264,1279,1300,1350,1647,1705,1733,1124,1179,2057,2202
TZA,United Republic of Tanzania,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,34,39,42,47,51,53,51,42,37,38,40,41,44,41,43,46,50,57,63,70,128,129,140,78
MKD,North Macedonia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,5239,6791,6227,7765,8772,10230,10160,10469,12415,12052,12331,14616,13107,14713,15368,16984,16537,18839,19682,21933,10032,6155,29515,29386
THA,Thailand,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,1277,1358,1466,1588,1547,1713,1816,1872,1980,2017,2049,2044,2099,2264,2376,2462,2529,2619,2717,2778,2648,2560,882,2895
TLS,Timor-Leste,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,24,26,27,27,29,31,35,38,41,46,51,57,64,72,80,90,100,112,125,137,130,133,152,190
TGO,Togo,West and Central Africa,Sub-Saharan Africa,West and Central Africa,43,44,48,50,50,50,47,47,47,45,43,43,44,45,46,49,50,53,54,58,61,62,69,73
TON,Tonga,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,255,259,258,261,269,269,283,290,297,292,316,328,338,355,365,378,394,413,440,458,458,453,484,527
TTO,Trinidad and Tobago,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,826,877,938,979,1054,1101,1133,1158,1189,1208,1210,1243,1300,1336,1353,1348,1351,1354,1353,1319,2073,1374,2500,1437
TUN,Tunisia,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,916,967,1020,1045,1081,1108,1138,1161,1174,1177,1145,1082,1046,1044,1065,1109,1164,1238,1296,1333,1322,912,1525,1667
TUR,The Republic of Türkiye,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1204,1297,1428,1533,1600,1676,1751,1838,1933,2039,2163,2171,2292,2461,2448,2535,2582,2785,3017,3313,3117,3148,3142,4620
TKM,Turkmenistan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,1373,1621,1875,2112,2295,2431,2596,2862,3226,3661,4033,4354,4584,4766,5077,5401,5794,6106,6431,6776,6716,6549,8022,8411
TUV,Tuvalu,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,130,136,143,163,167,154,158,164,168,169,168,209,205,205,202,196,189,183,199,197,150,199,141,185
UGA,Uganda,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,33,35,38,40,41,38,39,47,51,51,55,58,61,57,58,62,70,78,84,91,97,96,115,127
UKR,Ukraine,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,3403,3700,3788,3703,3601,3625,3395,3249,3079,3271,3735,3871,3778,3861,4165,4821,5073,5639,5963,6275,5662,4248,8707,9109
ARE,United Arab Emirates,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,4307,5498,6845,8088,9481,10949,14276,17333,19688,16968,16694,16791,16414,16464,17807,19447,20885,22191,24651,25857,10561,12107,32139,29127
GBR,United Kingdom,Industrialized,Europe and Central Asia,Western Europe,5723,5590,5300,4982,5036,5349,5459,5623,5534,5851,5971,6306,6822,7280,7120,7001,6836,7203,7260,7663,5337,5561,4782,8751
USA,United States,Industrialized,North America,North America,4842,4694,4614,4456,4484,4425,4283,4248,4206,4097,4223,4061,3980,3902,3747,3651,3531,3602,3729,3792,3076,2196,3359,4161
URY,Uruguay,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,2071,2059,2127,2255,2411,2541,2672,2818,2902,3089,3183,3343,3336,3358,3358,3408,3509,3727,4152,4467,3810,1562,3964,5165
UZB,Uzbekistan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,848,902,952,1004,1024,1047,1060,1059,1060,1104,1145,1196,1219,1181,1150,1154,1190,1214,1196,1147,1112,1096,1102,1131
VUT,Vanuatu,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,168,173,183,182,185,193,200,203,205,209,207,211,215,212,212,216,221,222,226,235,236,208,252,270
VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,400,346,406,373,397,403,395,425,387,377,379,400,373,352,333,331,284,239,232,245,249,209,243,234
VNM,Viet Nam,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,575,612,653,684,688,749,788,797,809,830,860,867,858,862,826,845,917,954,1050,1054,1082,1094,1197,1270
YEM,Yemen,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,67,72,78,84,91,100,107,117,127,133,143,152,154,156,157,156,157,148,157,162,157,137,172,182
ZMB,Zambia,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,54,61,68,75,72,71,71,58,48,46,57,66,76,93,117,134,133,152,186,215,228,165,260,277
ZWE,Zimbabwe,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,67,60,66,61,62,61,59,53,50,47,43,41,41,44,51,58,62,67,69,70,71,61,74,78